Invoice No.,Date,Customer,Branch / Warehouse,Salesman,Salesman Code,Salesman Name,Payment Mode,Gross Amount,Discount,Discount %,Tax,Round Off,Net Amount,Cost,Profit,Margin %,Quantity,Item Count,Status
AE-005118,11/04/2026,SHREE SHYAM MEDICAL           ADITYAPUR,AGARWAL ENTERPRISES-FINAL,1099 - VISHAL ADITYAPUR,1099,VISHAL ADITYAPUR,CREDIT,4528.94,271.74,6,212.86,-0.06,4470,4132.96,337.04,7.54,37,10,POSTED
AE-005111,11/04/2026,TODI MEDICAL STORES           SONARI,AGARWAL ENTERPRISES-FINAL,1105 - SUBHASH,1105,SUBHASH,CREDIT,7687.46,461.24,6,409.76,0.02,7636,7036.88,599.12,7.85,31,15,POSTED
AE-005112,11/04/2026,OM SAI MEDICAL STORES         MANGO,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,5463.02,273.15,5,259.46,-0.33,5449,5098.07,350.93,6.44,43,15,POSTED
AE-005110,11/04/2026,SHREE SHYAM MEDICAL           ADITYAPUR,AGARWAL ENTERPRISES-FINAL,1099 - VISHAL ADITYAPUR,1099,VISHAL ADITYAPUR,CREDIT,7931.8,475.9,6,372.82,0.28,7829,7208.47,620.53,7.93,45,17,POSTED
AE-005109,11/04/2026,OM SAI MEDICAL STORES         MANGO,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,6795.09,339.77,5,322.78,-0.1,6778,6201.1,576.9,8.51,45,15,POSTED
AE-005106,11/04/2026,CASH SALE,AGARWAL ENTERPRISES-FINAL,#8817 - LALITA,#8817,LALITA,CREDIT,367.86,18.39,5,17.48,0.05,367,331.07,35.93,9.79,1,1,POSTED
AE-005107,11/04/2026,NEW SAINI MEDICAL             ADITYAPUR,AGARWAL ENTERPRISES-FINAL,1099 - VISHAL ADITYAPUR,1099,VISHAL ADITYAPUR,CREDIT,1267.68,63.36,5,60.22,0.46,1265,1184.49,80.51,6.36,13,4,POSTED
AE-005108,11/04/2026,IDEAL PHARMA                  SAKCHI,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,10632.99,637.99,6,499.76,0.24,10495,9573.54,921.46,8.78,116,11,POSTED
AE-005104,11/04/2026,CITY DRUG (REG)               DIMNA,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,5347.06,267.38,5,254.02,0.3,5334,4832.84,501.16,9.4,39,20,POSTED
AE-005102,11/04/2026,DIAMOND MEDICALS              JEMCO,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,1570.62,62.81,4,75.4,-0.21,1583,1547.61,35.39,2.24,10,4,POSTED
AE-005101,11/04/2026,DAWAIWALA                     SAKCHI,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,8336.03,500.15,6,391.8,0.32,8228,7601.49,626.51,7.61,19,5,POSTED
AE-005105,11/04/2026,IDEAL PHARMA                  SAKCHI,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,23897.52,1433.85,6,1123.14,0.19,23587,21507.85,2079.15,8.81,184,15,POSTED
AE-005100,11/04/2026,SHANTI MEDICAL(SAKCHI)        SAKCHI,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,727.06,36.35,5,34.54,-0.25,725,656.33,68.67,9.47,5,3,POSTED
AE-005103,11/04/2026,NEW BALAJI MEDICAL            KASIDIH,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,4002.8,160.2,4,192.12,0.28,4035,3989.16,45.84,1.14,37,7,POSTED
AE-005099,11/04/2026,BHOLA MEDICALS                SAKCHI JSR,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,13931.45,696.55,5,661.7,0.4,13897,12729.85,1167.15,8.4,86,17,POSTED
AE-005098,11/04/2026,CASH SALE,AGARWAL ENTERPRISES-FINAL,G12136 - SAMAPTI BARIDIH,G12136,SAMAPTI BARIDIH,CREDIT,1000,40,4,48,0,1008,900,108,10.71,1,1,POSTED
AE-005097,11/04/2026,KEDIA MEDCARE                 ADITYAPUR,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,2223.55,88.94,4,106.72,-0.33,2241,2149.72,91.28,4.07,23,8,POSTED
AE-005093,11/04/2026,MADAN ENTERPRISES             BISTUPUR,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,732.23,21.96,3,35.52,0.21,746,659.01,86.99,11.66,3,3,POSTED
AE-005096,11/04/2026,AGARWAL MEDICALS SAKCHI       SAKCHI,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,5540.96,387.87,7,257.66,0.25,5411,5042.1,368.9,6.82,43,19,POSTED
AE-005094,11/04/2026,MOONKA AGENCIES               SAKCHI,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,1765.7,176.58,10,79.46,0.42,1669,1518.04,150.96,9.04,8,2,POSTED
AE-005092,11/04/2026,ALL IN ONE POLY CLINIC        ADITYAPUR,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,3640.53,182.03,5,172.92,-0.42,3631,3422.86,208.14,5.73,34,6,POSTED
AE-005091,11/04/2026,SAKCHI PHARMA                 SAKCHI,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,1497.25,74.86,5,71.12,0.49,1494,1423.13,70.87,4.74,14,5,POSTED
AE-005090,11/04/2026,JEEVANDEEP PHARMA             SAKCHI,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,2534.05,101.4,4,121.62,-0.27,2554,2449.24,104.76,4.1,22,3,POSTED
AE-005095,11/04/2026,AGARWAL MEDICALS SAKCHI       SAKCHI,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,6553.22,458.73,7,304.76,-0.25,6399,5825.09,573.91,8.97,40,19,POSTED
AE-005089,11/04/2026,MEDICINE CENTRE.              SAKCHI,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,12173.6,608.68,5,701,0.08,12266,11234.51,1031.49,8.41,41,10,POSTED
AE-005088,11/04/2026,KEHAR MEDICAL                 MANGO,AGARWAL ENTERPRISES-FINAL,PCN - SHAMBHU MANGO,PCN,SHAMBHU MANGO,CREDIT,4183.19,208.98,5,198.7,0.09,4173,3970.48,202.52,4.85,79,4,POSTED
AE-005087,11/04/2026,AGARWAL MEDICALS SAKCHI       SAKCHI,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,4490.43,314.33,7,405.28,-0.38,4581,4041.35,539.65,11.78,17,8,POSTED
AE-005086,11/04/2026,AGARWAL MEDICALS SAKCHI       SAKCHI,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,5538.01,340.25,6.14,259.9,0.34,5458,5011.33,446.67,8.18,28,10,POSTED
AE-005085,11/04/2026,AGARWAL MEDICALS SAKCHI       SAKCHI,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,4805.86,336.42,7,223.46,0.1,4693,4328.52,364.48,7.77,38,13,POSTED
AE-005084,11/04/2026,AGARWAL MEDICALS SAKCHI       SAKCHI,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,3344.63,227.92,6.81,155.86,0.43,3273,3183.27,89.73,2.74,37,14,POSTED
AE-005083,11/04/2026,AGARWAL MEDICALS SAKCHI       SAKCHI,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,3016.98,211.19,7,234.52,-0.31,3040,2822.41,217.59,7.16,27,9,POSTED
AE-005082,11/04/2026,AGARWAL MEDICALS SAKCHI       SAKCHI,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,6968.22,487.8,7,324.04,-0.46,6804,6458.09,345.91,5.08,38,16,POSTED
AE-005080,11/04/2026,SAHU MEDICALS                 SAKCHI,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,3402.16,136.09,4,163.32,-0.39,3429,3061.93,367.07,10.7,13,6,POSTED
AE-005079,11/04/2026,DAWAIWALA                     SAKCHI,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,4772.66,286.35,6,224.32,0.37,4711,4416.7,294.3,6.25,39,8,POSTED
AE-005078,11/04/2026,DAWAIWALA                     SAKCHI,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,7475.47,448.55,6,402,0.08,7429,6806.19,622.81,8.38,40,13,POSTED
AE-005077,11/04/2026,NEW KAUNTIA MEDICAL           BISTUPUR,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,3175.62,158.76,5,150.84,0.3,3168,2841.55,326.45,10.3,20,6,POSTED
AE-005076,11/04/2026,BALAJI DRUGS                  SAKCHI,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,3390.11,203.42,6,159.32,-0.01,3346,3051.11,294.89,8.81,40,13,POSTED
AE-005081,11/04/2026,AGARWAL MEDICALS SAKCHI       SAKCHI,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,11607.25,762.96,6.57,634.9,-0.19,11479,10631.18,847.82,7.39,43,20,POSTED
AE-005075,11/04/2026,BALAJI DRUGS                  SAKCHI,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,6491.8,389.51,6,305.1,-0.39,6407,5915.83,491.17,7.67,49,14,POSTED
AE-005074,11/04/2026,BALAJI DRUGS                  SAKCHI,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,6256.73,375.4,6,294.06,-0.39,6175,5869.04,305.96,4.95,54,14,POSTED
AE-005073,11/04/2026,ALL IN ONE POLY CLINIC        ADITYAPUR,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,5027.91,251.41,5,238.78,-0.28,5015,4585.52,429.48,8.56,36,9,POSTED
AE-005072,11/04/2026,MANOJ MEDICAL HALL            BHUIYADIH,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,2816.57,140.84,5,133.78,0.49,2810,2558.64,251.36,8.95,13,9,POSTED
AE-005071,11/04/2026,AGARWAL MEDICALS SAKCHI       SAKCHI,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,6499.4,454.94,7,302.22,0.32,6347,5976.27,370.73,5.84,44,19,POSTED
AE-005070,11/04/2026,AGARWAL MEDICALS SAKCHI       SAKCHI,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,8809.28,616.62,7,409.64,-0.3,8602,7980.62,621.38,7.22,53,17,POSTED
AE-005069,11/04/2026,AGARWAL MEDICALS SAKCHI       SAKCHI,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,6493,454.66,7,301.94,-0.28,6340,6161.97,178.03,2.81,92,18,POSTED
AE-005068,11/04/2026,AGARWAL MEDICALS SAKCHI       SAKCHI,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,4893.8,342.56,7,227.58,0.18,4779,4768.93,10.07,0.21,43,20,POSTED
AE-005067,11/04/2026,AGARWAL MEDICALS SAKCHI       SAKCHI,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,6997.55,489.82,7,325.38,-0.11,6833,6318.15,514.85,7.53,43,20,POSTED
AE-004569,10/04/2026,AGARWAL MEDICALS SAKCHI       SAKCHI,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,5112.3,357.85,7,237.72,-0.17,4992,4784.85,207.15,4.15,34,20,POSTED
AE-005066,10/04/2026,BAGBERA MEDICAL HALL          BAGBERA,AGARWAL ENTERPRISES-FINAL,15225 - MAHAVIR BAGBERA,15225,MAHAVIR BAGBERA,CREDIT,532.85,21.32,4,25.58,-0.11,537,479.57,57.43,10.69,2,2,POSTED
AE-005065,10/04/2026,SHREE SHYAM MEDICAL           ADITYAPUR,AGARWAL ENTERPRISES-FINAL,1099 - VISHAL ADITYAPUR,1099,VISHAL ADITYAPUR,CREDIT,234.3,14.06,6,11.02,-0.26,231,210.87,20.13,8.71,3,1,POSTED
AE-005064,10/04/2026,BENGAL MEDICAL HALL           PURULIA,AGARWAL ENTERPRISES-FINAL,98 - MED.REP,98,MED.REP,CREDIT,3386.45,135.45,4,162.56,0.44,3414,3067.19,346.81,10.16,17,3,POSTED
AE-005063,10/04/2026,NEW DRUG HOUSE                HARHARGUTTU,AGARWAL ENTERPRISES-FINAL,15225 - MAHAVIR BAGBERA,15225,MAHAVIR BAGBERA,CREDIT,4269.58,214,5.01,202.78,-0.36,4258,4518.29,-260.29,-6.11,177,3,POSTED
AE-005062,10/04/2026,CASH SALE,AGARWAL ENTERPRISES-FINAL,AVY - KHUSI 2,AVY,KHUSI 2,CREDIT,139.67,5.59,4,6.7,0.22,141,125.7,15.3,10.85,1,1,POSTED
AE-005060,10/04/2026,CASH SALE,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,192.01,0,0,9.6,0.39,202,172.8,29.2,14.46,1,1,POSTED
AE-005059,10/04/2026,MEDIWISE                      SAKCHI,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,1860.6,74.48,4,89.3,-0.42,1875,1826.76,48.24,2.57,12,1,POSTED
AE-005061,10/04/2026,SUNDER MEDICAL                BISTUPUR,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,6921.26,17.49,0.25,388.4,-0.17,7292,6229.16,1062.84,14.58,10,2,POSTED
AE-005058,10/04/2026,NEW MEDICINE WORLD            AGRICO,AGARWAL ENTERPRISES-FINAL,,,,CREDIT,511.52,20.46,4,24.54,0.4,516,460.37,55.63,10.78,3,3,POSTED
AE-005057,10/04/2026,NALANDA MEDICAL               BHUYADIH,AGARWAL ENTERPRISES-FINAL,,,,CREDIT,221.98,11.1,5,10.54,-0.42,221,199.78,21.22,9.6,1,1,POSTED
AE-005056,10/04/2026,SAINI MEDICAL STORE           ADITYAPUR,AGARWAL ENTERPRISES-FINAL,1099 - VISHAL ADITYAPUR,1099,VISHAL ADITYAPUR,CREDIT,1423.74,42.71,3,69.06,-0.09,1450,1309.84,140.16,9.67,2,1,POSTED
AE-005054,10/04/2026,MEDCARE PHARMA                BARIDIH,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,434.2,21.71,5,20.62,-0.11,433,390.78,42.22,9.75,4,2,POSTED
AE-005053,10/04/2026,KHUSH MEDICAL                 KASIDIH,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,1824.36,91.22,5,86.64,0.22,1820,1641.92,178.08,9.78,11,4,POSTED
AE-005055,10/04/2026,ABHIKA MEDICARE               MANGO,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,711.64,28.46,4,34.16,-0.34,717,640.46,76.54,10.68,4,2,POSTED
AE-005052,10/04/2026,TATA 1MG HEALTHCARE SOLUTIONS BISTUPUR,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,1714.3,120,7,79.72,-0.02,1674,1542.8,131.2,7.84,10,1,POSTED
AE-005051,10/04/2026,ANANT MEDICALS                ADITYAPUR,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,1914.2,76.57,4,91.88,0.49,1930,1722.8,207.2,10.74,10,1,POSTED
AE-005050,10/04/2026,JALARAM MEDICAL HALL          CHAKRADHARPUR,AGARWAL ENTERPRISES-FINAL,SE - TRANSPORT,SE,TRANSPORT,CREDIT,3661.58,219.7,6,172.08,0.04,3614,3295.41,318.59,8.82,25,4,POSTED
AE-005049,10/04/2026,NALANDA MEDICAL               BHUYADIH,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,770.7,38.54,5,36.62,0.22,769,693.64,75.36,9.8,3,2,POSTED
AE-005048,10/04/2026,NIRMAL DRUG HOUSE             BARIDIH,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,5127.35,256.36,5,243.56,0.45,5115,4645.08,469.92,9.19,29,16,POSTED
AE-005047,10/04/2026,RAVI MEDICAL                  BHALUBASA,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,427.5,17.1,4,20.52,0.08,431,384.75,46.25,10.73,3,1,POSTED
AE-005046,10/04/2026,MEDICINE CENTRE.              SAKCHI,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,2372.01,118.6,5,112.66,-0.07,2366,2134.77,231.23,9.77,12,3,POSTED
AE-005044,10/04/2026,DEY^S MEDICAL                 SAKCHI,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,691.4,34.57,5,32.86,0.31,690,622.26,67.74,9.82,5,2,POSTED
AE-005045,10/04/2026,SHAURYA MEDICAL               BHALUBASA,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,1165.68,46.63,4,55.96,-0.01,1175,1049.12,125.88,10.71,6,3,POSTED
AE-005042,10/04/2026,BALAJI DRUGS                  SAKCHI,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,13510.7,810.64,6,635,-0.06,13335,12422.1,912.9,6.85,11,2,POSTED
AE-005041,10/04/2026,NIRMAL DRUG HOUSE             BARIDIH,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,2516.87,125.84,5,119.58,0.39,2511,2382.97,128.03,5.1,19,6,POSTED
AE-005043,10/04/2026,CASH SALE,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,194.46,5.83,3,9.44,-0.07,198,175.02,22.98,11.61,3,1,POSTED
AE-005040,10/04/2026,DISCOUNT MEDICINE MART        MANGO,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,1914.04,114.81,6,89.96,-0.19,1889,1812.67,76.33,4.04,17,3,POSTED
AE-005039,10/04/2026,MANOJ MEDICAL HALL            BHUIYADIH,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,671.19,33.56,5,114.78,-0.41,752,604.07,147.93,19.67,1,1,POSTED
AE-005038,10/04/2026,KALPANA MEDICALS              PERSUDIH,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,3057.78,183.47,6,143.74,-0.05,3018,2752,266,8.81,16,5,POSTED
AE-005037,10/04/2026,NEW LAXMI MEDICAL             JUGSALAI,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,3083.66,123.34,4,148,-0.32,3108,2774.73,333.27,10.72,20,12,POSTED
AE-005036,10/04/2026,GURUNANAK MEDICINE CENTRE(NEW)REFUGEE COLONY,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,351.21,10.53,3,17.04,0.28,358,316.11,41.89,11.7,6,2,POSTED
AE-005035,10/04/2026,LIFE DRUGS MEDICAL            CHAKRADHARPUR,AGARWAL ENTERPRISES-FINAL,SE - TRANSPORT,SE,TRANSPORT,CREDIT,12757.02,510.27,4,612.3,-0.05,12859,11735.76,1123.24,8.74,99,16,POSTED
AE-005032,10/04/2026,NEW SAINI MEDICAL             ADITYAPUR,AGARWAL ENTERPRISES-FINAL,1099 - VISHAL ADITYAPUR,1099,VISHAL ADITYAPUR,CREDIT,3646.32,182.31,5,173.22,-0.23,3637,3346.68,290.32,7.98,27,7,POSTED
AE-005034,10/04/2026,LIFE DRUGS MEDICAL            CHAKRADHARPUR,AGARWAL ENTERPRISES-FINAL,SE - TRANSPORT,SE,TRANSPORT,CREDIT,20378.1,815.12,4,978.12,-0.1,20541,18340.16,2200.84,10.71,152,6,POSTED
AE-005031,10/04/2026,NATIONAL PHARMA               DHATKIDIH,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,621.54,24.86,4,29.84,0.48,627,559.44,67.56,10.78,6,1,POSTED
AE-005033,10/04/2026,LIFE DRUGS MEDICAL            CHAKRADHARPUR,AGARWAL ENTERPRISES-FINAL,SE - TRANSPORT,SE,TRANSPORT,CREDIT,11826.75,473.09,4,567.7,-0.36,11921,10940.38,980.62,8.23,97,19,POSTED
AE-005030,10/04/2026,JALARAM MEDICAL HALL          CHAKRADHARPUR,AGARWAL ENTERPRISES-FINAL,SE - TRANSPORT,SE,TRANSPORT,CREDIT,2356.99,141.44,6,110.8,-0.35,2326,2321.82,4.18,0.18,12,4,POSTED
AE-005029,10/04/2026,DAWAIWALA                     SAKCHI,AGARWAL ENTERPRISES-FINAL,,,,CREDIT,1921.4,115.28,6,90.3,-0.42,1896,1729.3,166.7,8.79,10,1,POSTED
AE-005027,10/04/2026,SHREE SAI MEDICAL             BARIDIH,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,5078.7,203.14,4,243.78,-0.34,5119,5027.88,91.12,1.78,33,2,POSTED
AE-005028,10/04/2026,JALARAM MEDICAL HALL          CHAKRADHARPUR,AGARWAL ENTERPRISES-FINAL,SE - TRANSPORT,SE,TRANSPORT,CREDIT,11181.19,670.92,6,785.08,-0.35,11295,10300.88,994.12,8.8,68,15,POSTED
AE-005026,10/04/2026,RAZA MEDICAL                  JUGSALAI,AGARWAL ENTERPRISES-FINAL,15225 - MAHAVIR BAGBERA,15225,MAHAVIR BAGBERA,CREDIT,790.2,23.71,3,38.32,0.19,805,655.2,149.8,18.61,30,1,POSTED
AE-005024,10/04/2026,MANISH MEDICALS               BISTUPUR,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,648.72,32.44,5,30.8,-0.08,647,611.37,35.63,5.51,6,2,POSTED
AE-005025,10/04/2026,JALARAM MEDICAL HALL          CHAKRADHARPUR,AGARWAL ENTERPRISES-FINAL,SE - TRANSPORT,SE,TRANSPORT,CREDIT,9150.94,549.09,6,508.6,-0.45,9110,8380.24,729.76,8.01,71,13,POSTED
AE-005023,10/04/2026,MANISH MEDICALS               BISTUPUR,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,8320.17,416,5,395.22,-0.39,8299,7527.44,771.56,9.3,39,17,POSTED
AE-005021,10/04/2026,MODI DRUGS                    SAKCHI,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,250,15,6,11.76,0.24,247,225,22,8.91,1,1,POSTED
AE-005022,10/04/2026,DAVA GHAR                     HATGAMRIYA,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,2680.57,107.11,4,128.68,-0.14,2702,2634.33,67.67,2.5,103,8,POSTED
AE-005019,10/04/2026,LIFE LINE MEDICO              SAKCHI JSR,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,18754.1,937.84,5,890.8,-0.06,18707,18990.39,-283.39,-1.51,118,14,POSTED
AE-005020,10/04/2026,CASH SALE,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,328.04,0,0,16.4,-0.44,344,295.25,48.75,14.17,3,3,POSTED
AE-005018,10/04/2026,RAJA MEDICAL                  BHALUBASA,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,5490.18,274.62,5,300.82,-0.38,5516,5513.86,2.14,0.04,56,9,POSTED
AE-005017,10/04/2026,DAWA BAZAR(WHOLESALE)         BARADWARI,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,4147.27,248.82,6,194.92,-0.37,4093,3804.96,288.04,7.04,30,8,POSTED
AE-005015,10/04/2026,CASH SALE,AGARWAL ENTERPRISES-FINAL,#39 - BULLU,#39,BULLU,CREDIT,333.86,16.69,5,15.86,-0.03,333,301.45,31.55,9.47,4,3,POSTED
AE-005014,10/04/2026,MANNA MEDICO                  KOLKATA,AGARWAL ENTERPRISES-FINAL,254 - ARDESHIR DALAL MEMO. HOSPITAL BARIDIH,254,ARDESHIR DALAL MEMO. HOSPITAL BARIDIH,CREDIT,478379.74,38270.02,8,22005.48,-0.2,462115,442096.6,20018.4,4.33,2430,6,POSTED
AE-005016,10/04/2026,TABLETS                       BIRSANAGAR,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,3281.15,196.89,6,243.5,0.24,3328,2997.87,330.13,9.92,39,8,POSTED
CN00122,10/04/2026,SIKHAR YASH MEDICAL           JUGSALAI,AGARWAL ENTERPRISES-FINAL,,,,CREDIT,2269.25,90.77,4,108.92,-0.4,2287,2042.33,244.67,10.7,14,5,RETURN
